X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-102.4775,46.9955556,79.0,99.0,0.9,US-NCSS,Northern America,Northern America,Unknown
81.65566254,28.18913078,35.0,75.0,0.4,NP-SOTER,Southern Asia,Asia,Unknown
-97.0082245,46.3953056,79.0,102.0,0.7,US-NCSS,Northern America,Northern America,Unknown
13.840329,12.334434,50.0,190.0,0.7,AF-AfSP,Western Africa,Africa,Unknown
-112.0327805,29.24910008,49.0,96.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-98.7874985,42.5666656,81.0,107.0,0.2,US-NCSS,Northern America,Northern America,Unknown
85.36399841,27.76947975,60.0,120.0,0.1,NP-SOTER,Southern Asia,Asia,Unknown
-97.1924581,48.2926098,60.0,90.0,0.9,US-NCSS,Northern America,Northern America,Unknown
-90.46249648,18.24633146,82.0,110.0,2.2,MX-INEGI,Central America,Northern America,Unknown
27.819729,-15.299514,20.0,71.0,0.5,AF-AfSP,Eastern Africa,Africa,Unknown
-76.16666667,20.33333333,80.0,115.0,0.2,WD-WISE,Caribbean,Northern America,Unknown
-96.5594406,39.081665,72.0,87.0,2.3,US-NCSS,Northern America,Northern America,Unknown
75.0,22.7166672,81.0,108.0,0.8,US-NCSS,Southern Asia,Asia,Unknown
-111.1883028,30.12400752,80.0,125.0,0.2,MX-INEGI,Central America,Northern America,Unknown
-103.4519424,41.3561096,58.0,84.0,0.6,US-NCSS,Northern America,Northern America,Unknown
100.75,14.25,93.0,120.0,0.6,WD-WISE,South-Eastern Asia,Asia,Unknown
-103.9264738,19.46389409,87.0,125.0,0.0,MX-INEGI,Central America,Northern America,Unknown
-103.8016434,29.7739105,66.0,81.0,0.8,US-NCSS,Northern America,Northern America,Unknown
13.350248,-12.626686,85.0,120.0,15.0,SAF-SOTER,Middle Africa,Africa,Unknown
-47.8833351,-21.4666672,85.0,180.0,0.0,WD-WISE,South America,South America,Unknown
139.5702778,-35.73097036,60.0,100.0,0.1,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-114.1452942,41.2502022,86.0,165.0,5.0,US-NCSS,Northern America,Northern America,Unknown
-108.7626266,39.23720169,54.0,77.0,2.7,US-NCSS,Northern America,Northern America,Unknown
-110.3706794,27.35394554,60.0,95.0,0.0,MX-INEGI,Central America,Northern America,Unknown
17.25510025,-17.4939003,51.0,80.0,9.2,NA-NAMSOTER,Southern Africa,Africa,Unknown
16.06940079,-17.9041996,25.0,81.0,1.2,NA-NAMSOTER,Southern Africa,Africa,Unknown
-75.6331558,37.7745781,94.0,124.0,54.0,US-NCSS,Northern America,Northern America,Unknown
