X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-109.5774462,30.83440213,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2003
-105.1513977,38.40723038,0.0,20.0,13.8,US-NCSS,Northern America,Northern America,1985
-101.799771,19.48188181,0.0,20.0,0.3,MX-INEGI,Central America,Northern America,2003
-113.5811659,28.17786376,20.0,60.0,3.0,MX-INEGI,Central America,Northern America,Unknown
-112.6114037,30.92520827,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2004
-48.1333351,-15.9,0.0,20.0,0.0,WD-WISE,South America,South America,1985
-103.880006,19.71578973,26.0,42.0,0.2,MX-INEGI,Central America,Northern America,2003
15.62139988,-17.64640045,0.0,20.0,1.9,NA-NAMSOTER,Southern Africa,Africa,Unknown
-98.85245678,17.5040912,0.0,20.0,0.0,MX-INEGI,Central America,Northern America,2003
-101.2957721,21.45853019,0.0,20.0,2.0,MX-INEGI,Central America,Northern America,1971
-119.214447,47.0555573,0.0,20.0,1.6,US-NCSS,Northern America,Northern America,1961
-108.9397408,26.0050477,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-99.97177801,16.94885863,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,1985
-111.2779016,26.11048065,0.0,20.0,1.6,MX-INEGI,Central America,Northern America,2005
-79.7497711,36.333416,0.0,20.0,0.3,US-NCSS,Northern America,Northern America,1981
-104.5867833,28.28666692,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2003
-76.08333333,20.33333333,0.0,20.0,0.4,WD-WISE,Caribbean,Northern America,1991
35.45,-4.6,0.0,20.0,0.3,AF-AfSP,Eastern Africa,Africa,1983
-109.2676468,39.45830536,0.0,20.0,0.7,US-NCSS,Northern America,Northern America,1999
-97.92317939,19.27964211,0.0,20.0,0.0,MX-INEGI,Central America,Northern America,2002
-104.5290197,25.29485638,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2005
-86.6275024,40.7069435,0.0,20.0,0.1,WD-WISE,Northern America,Northern America,1984
32.19584,-26.16528,20.0,60.0,0.3,SAF-SOTER,Eastern Africa,Africa,1961
17.76259995,-17.45770073,0.0,20.0,5.3,NA-NAMSOTER,Southern Africa,Africa,Unknown
-100.8113211,21.91683006,0.0,20.0,2.0,MX-INEGI,Central America,Northern America,1969
-97.78569561,17.78629324,0.0,20.0,2.4,MX-INEGI,Central America,Northern America,1985
128.893828,-15.432247,0.0,20.0,0.1,AU-CSIRO,Australia and New Zealand,Oceania,2010
24.55333,-28.1,20.0,60.0,1.3,ZA-SOTER,Southern Africa,Africa,1974
-111.0635881,30.53772806,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2003
-112.632237,30.7257766,3.0,19.0,0.0,MX-INEGI,Central America,Northern America,2004
-97.2083359,44.4550018,23.0,51.0,1.2,US-NCSS,Northern America,Northern America,1987
24.07972222,49.2,0.0,20.0,0.0,EU-SOTER,Eastern Europe,Europe,1975
138.5876582,-35.19115145,0.0,20.0,0.3,AU-CSIRO,Australia and New Zealand,Oceania,2005
34.9,-1.733333,25.0,45.0,0.4,AF-AfSP,Eastern Africa,Africa,1976
-104.8522874,24.05606904,0.0,20.0,0.0,MX-INEGI,Central America,Northern America,2005
-97.63531326,21.1852017,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-123.0619431,48.5011101,0.0,20.0,0.6,US-NCSS,Northern America,Northern America,1956
-98.1422195,30.9861107,0.0,20.0,0.6,US-NCSS,Northern America,Northern America,1986
138.8935428,-34.50274634,0.0,20.0,0.7,AU-CSIRO,Australia and New Zealand,Oceania,2004
-111.4952017,24.65091965,0.0,20.0,2.0,MX-INEGI,Central America,Northern America,1985
35.33333,-4.616667,0.0,20.0,0.4,AF-AfSP,Eastern Africa,Africa,1983
33.6,-24.84444,0.0,20.0,0.1,SAF-SOTER,Eastern Africa,Africa,1980
71.1118333,34.7743333,0.0,20.0,1.8,US-NCSS,Southern Asia,Asia,2009
-115.4365921,45.6678085,0.0,20.0,0.2,US-NCSS,Northern America,Northern America,1978
-104.0870802,25.28272835,0.0,20.0,2.9,MX-INEGI,Central America,Northern America,Unknown
168.6583877,-46.33015467,0.0,20.0,0.1,WD-WISE,Australia and New Zealand,Oceania,1968
-93.34168116,16.5964942,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
37.0833,0.3666,0.0,20.0,0.9,KE-SOTER,Eastern Africa,Africa,1982
-117.1391678,33.9288902,0.0,20.0,0.4,US-NCSS,Northern America,Northern America,1955
135.7766758,-34.50252514,15.0,75.0,0.2,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-54.66666667,-34.75,0.0,20.0,0.1,WD-WISE,South America,South America,Unknown
-94.72555149,16.85497451,0.0,20.0,0.3,MX-INEGI,Central America,Northern America,2004
140.5240338,-36.62282587,0.0,20.0,0.2,AU-CSIRO,Australia and New Zealand,Oceania,1995
-98.7379722,28.5158889,0.0,20.0,1.1,US-NCSS,Northern America,Northern America,2010
-99.1801282,17.57633187,0.0,20.0,2.3,MX-INEGI,Central America,Northern America,Unknown
-96.0086944,40.518,0.0,20.0,0.4,US-NCSS,Northern America,Northern America,1981
-105.4901762,26.17689509,0.0,20.0,0.8,MX-INEGI,Central America,Northern America,2004
17.8661,-19.7317,0.0,20.0,12.1,SAF-SOTER,Southern Africa,Africa,1999
23.55972222,51.11972222,0.0,20.0,0.2,EU-SOTER,Eastern Europe,Europe,1995
-99.42305551,18.56037453,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-102.188816,19.19331316,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,1999
-111.4951962,25.06717817,0.0,20.0,13.0,MX-INEGI,Central America,Northern America,Unknown
-99.94499746,17.52635707,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
35.0,-2.166667,0.0,20.0,0.3,AF-AfSP,Eastern Africa,Africa,1976
-97.2136111,46.4275,0.0,20.0,3.2,US-NCSS,Northern America,Northern America,1967
39.0,36.0,0.0,20.0,24.5,WD-WISE,Western Asia,Asia,Unknown
137.7079982,-34.27575306,26.0,42.0,0.2,AU-CSIRO,Australia and New Zealand,Oceania,1992
-112.4259336,29.73273975,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-121.6961136,37.6502762,0.0,20.0,0.3,US-NCSS,Northern America,Northern America,1959
-112.0397186,41.8811111,0.0,20.0,0.8,US-NCSS,Northern America,Northern America,1991
21.3741,-18.0543,20.0,60.0,0.9,NA-NAMSOTER,Southern Africa,Africa,1999
-106.6936923,24.42619392,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,1989
38.366667,-1.872778,0.0,20.0,0.1,WD-WISE,Eastern Africa,Africa,1978
-100.862432,26.10702296,0.0,20.0,1.1,MX-INEGI,Central America,Northern America,2005
139.0208314,-34.893329,25.0,45.0,0.1,AU-CSIRO,Australia and New Zealand,Oceania,1991
19.7625561,41.3701096,0.0,20.0,0.9,US-NCSS,Southern Europe,Europe,1994
-91.07355445,16.77022509,25.0,45.0,0.1,MX-INEGI,Central America,Northern America,2004
-96.99543201,20.14701082,25.0,45.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-94.49970398,16.49635113,0.0,20.0,2.0,MX-INEGI,Central America,Northern America,1986
-98.1422195,30.9861107,0.0,20.0,0.6,WD-WISE,Northern America,Northern America,1986
-101.1335652,20.14150308,20.0,60.0,2.0,MX-INEGI,Central America,Northern America,1971
